userId,genre,avg_rating
1,Crime,4.209677419354839
1,War,4.2
1,Animation,4.0
1,Film-Noir,4.0
1,Musical,4.0
2,Animation,4.5
2,Drama,4.363636363636363
2,Children,4.333333333333333
2,Crime,4.333333333333333
2,Fantasy,4.25
3,Documentary,5.0
3,Mystery,4.25
3,Crime,4.0
3,Horror,4.0
3,IMAX,4.0
4,Animation,4.75
4,War,4.5625
4,Mystery,4.4
4,Drama,4.342105263157895
4,Children,4.333333333333333
5,IMAX,4.277777777777778
5,Animation,4.095238095238095
5,Musical,4.090909090909091
5,Children,3.9047619047619047
5,Fantasy,3.84375
6,Horror,4.5
6,Musical,4.5
6,Romance,4.366666666666666
6,Crime,4.363636363636363
6,Sci-Fi,4.333333333333333
7,Film-Noir,5.0
7,Musical,5.0
7,Documentary,4.0
7,Mystery,3.861111111111111
7,Crime,3.8548387096774195
8,Animation,4.333333333333333
8,Mystery,4.333333333333333
8,Children,4.166666666666667
8,Drama,4.133333333333334
8,Fantasy,4.0
9,IMAX,4.0
9,Crime,3.0869565217391304
9,Documentary,3.0
9,War,3.0
9,Thriller,2.8666666666666667
10,Animation,4.25
10,Children,4.25
10,Crime,4.0
10,Horror,4.0
10,War,4.0
11,Horror,4.0
11,Sci-Fi,3.9047619047619047
11,Animation,3.8461538461538463
11,Adventure,3.8125
11,War,3.6666666666666665
12,Animation,4.5
12,Children,4.5
12,Musical,4.5
12,Fantasy,4.125
12,Adventure,4.0
13,Mystery,3.875
13,Drama,3.727272727272727
13,Fantasy,3.625
13,Comedy,3.6
13,Children,3.5
14,Crime,5.0
14,Musical,5.0
14,Children,4.333333333333333
14,Animation,4.0
14,Fantasy,4.0
15,Animation,5.0
15,Children,5.0
15,Film-Noir,5.0
15,IMAX,5.0
15,Musical,5.0
16,Horror,4.666666666666667
16,Mystery,4.5
16,Sci-Fi,4.454545454545454
16,Action,4.333333333333333
16,Thriller,4.25
17,Animation,4.7
17,Mystery,4.5
17,Children,4.375
17,Sci-Fi,4.317073170731708
17,Adventure,4.293103448275862
18,Mystery,4.033333333333333
18,Film-Noir,4.0
18,Animation,3.9375
18,Romance,3.892857142857143
18,Fantasy,3.6923076923076925
19,Documentary,4.25
19,War,4.117647058823529
19,Western,4.0
19,Drama,3.858108108108108
19,Mystery,3.8333333333333335
20,IMAX,4.333333333333333
20,Mystery,4.214285714285714
20,Thriller,4.166666666666667
20,Crime,3.9375
20,Adventure,3.9285714285714284
21,Documentary,4.5
21,War,4.071428571428571
21,Adventure,4.020408163265306
21,Animation,4.0
21,Western,4.0
22,IMAX,4.5
22,Animation,3.769230769230769
22,Film-Noir,3.5
22,Drama,3.448051948051948
22,Mystery,3.433333333333333
23,War,3.8
23,Horror,3.75
23,Romance,3.75
23,Documentary,3.7
23,Mystery,3.6875
24,Film-Noir,4.705882352941177
24,War,4.222222222222222
24,Romance,4.17948717948718
24,Mystery,4.104166666666667
24,Crime,4.043478260869565
25,War,4.0
25,Mystery,3.5
25,Animation,3.4
25,Adventure,3.1666666666666665
25,Musical,3.0
26,Crime,4.5
26,Fantasy,3.75
26,Animation,3.5
26,Children,3.5
26,Drama,3.5
27,Mystery,5.0
27,Thriller,5.0
27,Crime,4.6
27,War,4.333333333333333
27,Romance,4.181818181818182
28,Documentary,4.0
28,Film-Noir,4.0
28,Horror,4.0
28,IMAX,4.0
28,Animation,3.75
29,IMAX,3.6666666666666665
29,Sci-Fi,3.6136363636363638
29,Horror,3.5555555555555554
29,Mystery,3.4705882352941178
29,Adventure,3.459016393442623
30,IMAX,4.318181818181818
30,Action,4.144444444444445
30,Crime,4.125
30,Drama,4.0
30,Horror,4.0
31,War,4.25
31,Drama,4.0
31,Horror,4.0
31,Romance,4.0
31,Crime,3.9285714285714284
32,Film-Noir,4.75
32,War,4.481481481481482
32,Crime,4.448275862068965
32,Drama,4.356060606060606
32,Mystery,4.352941176470588
33,Documentary,5.0
33,Fantasy,4.5
33,War,4.375
33,Children,4.333333333333333
33,Mystery,4.333333333333333
34,Film-Noir,5.0
34,War,5.0
34,Musical,4.666666666666667
34,Mystery,4.666666666666667
34,Sci-Fi,4.6
35,Crime,4.428571428571429
35,Animation,4.0
35,Comedy,3.923076923076923
35,Drama,3.8333333333333335
35,Action,3.769230769230769
36,Mystery,5.0
36,Animation,4.0
36,Children,4.0
36,Crime,4.0
36,Fantasy,4.0
37,Film-Noir,4.571428571428571
37,Mystery,4.55
37,Horror,4.5
37,Crime,4.40625
37,Fantasy,4.25
38,Crime,3.6206896551724137
38,Mystery,3.475
38,Drama,3.2572815533980584
38,Musical,3.183333333333333
38,IMAX,3.156862745098039
39,IMAX,5.0
39,Romance,4.666666666666667
39,Animation,4.333333333333333
39,Children,4.333333333333333
39,Comedy,4.285714285714286
40,Crime,4.0
40,War,4.0
40,Comedy,3.5
40,Romance,3.4285714285714284
40,Horror,3.0
41,Documentary,5.0
41,IMAX,4.75
41,Children,4.617647058823529
41,Musical,4.555555555555555
41,Adventure,4.535714285714286
42,IMAX,5.0
42,Musical,4.833333333333333
42,Animation,4.75
42,Romance,4.685185185185185
42,Fantasy,4.583333333333333
43,Western,5.0
